link;produk;harga;layar;chipset;memori;ram;kamera;os;rating
https://www.hallogsm.com/harga-hp/vivo-x100s-pro/;Vivo X100s Pro;Rp11.199.000;LTPO AMOLED 6.78 inci;Mediatek Dimensity 9300+ (4 nm);256 GB / 512 GB / 1 TB;12 GB / 16 GB;Belakang Triple 50 MP + 50 MP + 50 MP, Depan 32 MP;Android 14;8.6
https://www.hallogsm.com/harga-hp/vivo-x100s/;Vivo X100s;Rp8.999.000;LTPO AMOLED 6.78 inci;Mediatek Dimensity 9300+ (4 nm);256 GB / 512 GB / 1 TB;12 GB / 16 GB;Belakang Triple 50 MP + 64 MP + 50MP, Depan 32 MP;Android 14;8.6
https://www.hallogsm.com/harga-hp/motorola-moto-g-stylus-5g-2024/;Motorola Moto G Stylus 5G (2024);Rp6.499.000;P-OLED 6.7 inci;Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);256 GB;8 GB;Belakang Dual 50 MP + 13 MP, Depan 32 MP;Android 14;8.2
https://www.hallogsm.com/harga-hp/zte-axon-60-lite/;ZTE Axon 60 Lite;Rp2.899.000;IPS LCD 6.6 inci;Unisoc T606 (12 nm);256 GB;4 GB;Belakang Dual 50 MP + 2 MP, Depan 8 MP;Android 13;7.6
https://www.hallogsm.com/harga-hp/zte-axon-60/;ZTE Axon 60;Rp3.499.000;IPS LCD 6.72 inci;Unisoc Tiger T616 (12 nm);256 GB;64 GB;Belakang Triple 50 MP + 2 MP + 2 MP, Depan 32 MP;Android 13;7.8
https://www.hallogsm.com/harga-hp/sharp-aquos-wish4/;Sharp Aquos Wish4;Rp9.999.999;IPS LCD 6.6 inci;Mediatek Dimensity 700 (7 nm);64 GB;4 GB;Belakang 50.1 MP, Depan 8 MP;Android 14;7.6
https://www.hallogsm.com/harga-hp/vivo-y18s/;Vivo Y18s;Rp2.799.000;IPS LCD 6.56 inci;Mediatek MT6769Z Helio G85 (12nm);128 GB;8 GB;Belakang Dual 50 MP + 0.08 MP, Depan 8 MP;Android 14;7.4
https://www.hallogsm.com/harga-hp/sharp-aquos-r9/;Sharp Aquos R9;Rp9.999.000;Pro IGZO OLED 6.5 inci;Qualcomm SM7675 Snapdragon 7+ Gen 3 (4 nm);256 GB;12 GB;Belakang Dual 50.3 MP + 50.3 MP, Depan 50.3 MP;Android 14;8.2
https://www.hallogsm.com/harga-hp/nokia-3210/;Nokia 3210;Rp1.599.000;TFT LCD 2.4 inci;Unisoc T107 (22 nm);128 MB;64 MB;Belakang 2 MP, Depan Tidak Ada;S30+;6.8
https://www.hallogsm.com/harga-hp/realme-gt-neo6/;Realme GT Neo6;Rp4.699.000;LTPO AMOLED 6.78 inci;Qualcomm SM8635 Snapdragon 8s Gen 3 (4 nm);256 GB / 512 GB / 1 TB;12 GB / 16 GB;Belakang Dual 50 MP + 8 MP, Depan 32 MP;Android 14;8.6
https://www.hallogsm.com/harga-hp/apple-ipad-air-13-2024/;Apple iPad Air 13 (2024);Rp15.499.000;Liquid Retina IPS LCD 13.0 inci;Apple M2;128GB / 256GB / 512GB / 1TB;;Belakang Single 12 MP, Depan 12 MP;iPadOS 17.4;8
https://www.hallogsm.com/harga-hp/samsung-galaxy-z-fold7/;Samsung Galaxy Z Fold7;Rp28.499.000;Foldable Dynamic LTPO AMOLED 2X 8.0 inci;Qualcomm SM8750-AC Snapdragon 8 Elite (3 nm);256 GB / 512 GB / 1 TB;12 GB / 16 GB;Belakang Triple 200 MP + 10 MP + 12 MP, Depan 10 MP;Android 16;8.4
https://www.hallogsm.com/harga-hp/samsung-galaxy-z-flip7/;Samsung Galaxy Z Flip7;Rp17.999.000;Foldable Dynamic LTPO AMOLED 2X 6,9 inci;Exynos 2500 (3 nm);256 GB / 512 GB;12 GB;Belakang Dual 50 MP + 12 MP, Depan 10 MP;Android 16;8
https://www.hallogsm.com/harga-hp/oppo-a5i-pro/;Oppo A5i Pro;Rp2.599.000;IPS LCD 6.67 inci;Qualcomm Snapdragon 6s Gen 1;128 GB;8 GB;Belakang Dual 8 MP + 2 MP, Depan 5 MP;Android 15;7.6
https://www.hallogsm.com/harga-hp/oppo-a5i/;Oppo A5i;Rp1.599.000;IPS LCD 6.67 inci;Qualcomm Snapdragon 6s Gen 1;128 GB;4 GB;Belakang Dual 8 MP + 2 MP, Depan 5 MP;Android 15;7.6
https://www.hallogsm.com/harga-hp/oneplus-13s/;OnePlus 13s;Rp10.499.000;LTPO AMOLED 6.32 inci;Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm);256 GB / 512 GB;12 GB;Belakang Dual 50 MP + 50 MP, Depan 32 MP;Android 15;8
https://www.hallogsm.com/harga-hp/vivo-y19sgt-5g/;Vivo Y19sGT 5G;Rp1.999.000;IPS LCD 6.74 inci;Mediatek Dimensity 6300 (6 nm);128 GB / 256 GB;4 GB / 6 GB / 8 GB;Belakang Dual 50 MP + 2 MP, Depan 5 MP;Android 15;7.8
https://www.hallogsm.com/harga-hp/tecno-spark-go-2/;Tecno Spark Go 2;Rp1.399.000;IPS LCD 6.67 inci;Unisoc T7250 (12 nm);64 GB / 128 GB / 256 GB;3 GB / 4 GB;Belakang Dual 13 MP, Depan 8 MP;Android 15;8
https://www.hallogsm.com/harga-hp/oppo-reno14-f/;Oppo Reno14 F;Rp7.199.000;AMOLED 6.57 inci;Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);256 GB / 512 GB;8 GB / 12 GB;Belakang Triple 50 MP + 8 MP + 2 MP, Depan 32 MP;Android 15;8
https://www.hallogsm.com/harga-hp/tecno-pova-7/;Tecno Pova 7;Rp1.999.000;AMOLED 6.78 inci;Mediatek Helio G100 Ultimate (6 nm);128 GB / 256 GB;8 GB;Belakang Dual 108 MP + 2 MP, Depan 8 MP;Android 15;8.2
https://www.hallogsm.com/harga-hp/infinix-smart-10/;Infinix Smart 10;Rp1.049.000;IPS LCD 6.67 inci;Unisoc T7250 (12 nm);64 GB / 128 GB / 256 GB;3GB / 4GB;Belakang 8 MP, Depan 8 MP;Android 15;8
https://www.hallogsm.com/harga-hp/vivo-t4-lite/;Vivo T4 Lite;Rp1.899.000;IPS LCD 6.74 inci;Mediatek Dimensity 6300 (6 nm);128 GB / 256 GB;4 GB / 6 GB / 8 GB;Belakang Dual 50 MP + 2 MP, Depan 5 MP;Android 15;8
